System,Type,Type_ref,Gaia_ID,ra,ra_error,dec,dec_error,parallax,parallax_error,distance_gspphot,distance_gspphot_upper,distance_gspphot_lower,pmra,pmra_error,pmdec,pmdec_error,pm,radial_velocity,radial_velocity_error
HD 195019,G1V,2001AJ....121.2148G,Gaia DR3 1815418118373631360,307.07929398019195,0.012170137,18.769242935140205,0.013125293,26.64647931052189,0.022455148,37.3538,37.4483,37.1984,349.61977439220647,0.015586267,-56.618359057406025,0.01876193,354.17456,-91.263794,0.119012125
HD 196050,G3V,1975MSS...C01....0H,Gaia DR3 6454954010413575296,309.4637255286067,0.012968217,-60.634773985981354,0.01256686,19.787156438247344,0.020504005,50.5923,51.0562,50.4408,-191.11769122768848,0.013689691,-65.01991682911431,0.015212666,201.8751,61.372757,0.124192365
HD 196067,G0V,2006AJ....132..161G,Gaia DR3 6369544118965772416,310.4365054098678,0.014637662,-75.35152180039606,0.017657673,25.032724921336342,0.020531353,39.9381,39.9914,39.904,156.404128065751,0.019299628,-162.21415165644808,0.022437656,225.3346,-11.00263,0.12329576
HD 196885,F8V,2001AJ....121.2148G,Gaia DR3 1754430373040023168,309.96647104497725,0.020398349,11.250035914960753,0.015098949,29.40764876817505,0.027209938,33.966,33.9985,33.935,71.91462356793883,0.031676054,89.31770957564326,0.02572654,114.670685,-31.088703,0.13031945
HD 197037,G0,1993yCat.3135....0C,Gaia DR3 2066437688140905600,309.8869563374066,0.010640309,42.24756209551218,0.013249483,30.2285779855553,0.014290423,33.0502,33.0668,33.0331,-62.74458863980568,0.014368663,-222.1683288615094,0.017047448,230.8585,8.888768,0.12550311
HD 19994,F8.5V,2003AJ....126.2048G,Gaia DR3 3265335443260522112,48.194346115429944,0.13297834,-1.1964050113001996,0.09882143,43.70273455684943,0.13252045,--,--,--,193.54884716032865,0.15142389,-68.8884844240555,0.11010126,205.44289,19.302824,0.12092308
HD 202206,G6V,1988MSS...C04....0H,Gaia DR3 6832155218215202944,318.7405162913092,0.02205593,-20.789745174219902,0.0164954,21.939201623652195,0.027478134,45.4651,45.6705,45.3592,-39.173495312802515,0.027121015,-120.06846136200777,0.02249806,126.297264,14.6255045,0.18853752
HD 202772,G8/K1+A/F,1982MSS...C03....0H,,,,,,,,,,,,,,,,,
HD 204941,K2V,2006AJ....132..161G,Gaia DR3 6830027182179257472,323.09662995538457,0.020023622,-20.95797436742594,0.017491473,34.882972989080336,0.027438005,28.6146,28.6368,28.5921,-278.86816615356577,0.026948908,-124.31478865382105,0.020303879,305.32217,32.47982,0.12799987
HD 20781,G9.5V,2006AJ....132..161G,Gaia DR3 5060105897197110144,50.01403102395243,0.009684992,-28.78412676056192,0.015486894,27.812323049350464,0.02385499,35.8977,35.9382,35.86,348.8686604181032,0.014826859,-66.61443733287662,0.018604925,355.17154,40.27011,0.12039765
